pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_density,pl_name,planet_type,discovery_mission,discoveries_by_mission,planets_in_system,pl_orbper_norm,pl_orbsmax_norm,pl_orbeccen_norm,pl_bmassj_norm,pl_radj_norm,pl_density_norm,st_dist_norm,st_optmag_norm,st_teff_norm,st_mass_norm,st_rad_norm,pl_discmethod_cod,pl_letter_cod,pl_bmassprov_cod,st_optband_cod
2MASS J19383260+4603591,b,Eclipse Timing Variations,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,1,0,294.635865,46.066418,511.5,12.264,Kepler-band,5626.0,0.4899999999999998,0.98,,2MASS J19383260+4603591 b,,Kepler,2329,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.3866773745441915,0.5287891268533773,0.0,0.47916666666666663,1,0,0,0
2MASS J21402931+1625183 A,b,Imaging,1,100.19248779,0.122,0.1065,1.0150000000000001,Mass,0.41800000000000004,0,0,0,325.122159,16.421759,25.0,13.971,Kepler-band,4021.125,0.4899999999999998,0.2899999999999999,26.904228651269825,2MASS J21402931+1625183 A b,Rocoso/Compacto,Otra misión/Terrestre,914,1,1.0,0.47832796564680613,0.0,0.0,1.0000000000000002,0.0,0.016494580027856844,0.5348801875325576,0.0,0.0,0.0,2,0,0,0
30 Ari B,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,39.240585,24.648064,39.43,13.971,Kepler-band,6300.0,1.16,1.13,,30 Ari B b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.02741779204263308,0.5348801875325576,0.7508649093904449,0.6979166666666665,0.5833333333333333,7,0,2,0
4 UMa,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,130.053406,64.327934,77.4,7.81025,V (Johnson),4415.0,1.23,1.73,,4 UMa b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.05616029794707201,0.0,0.1297775947281714,0.7708333333333333,1.0,7,0,2,1
42 Dra,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,276.496399,65.563484,97.28,7.81025,V (Johnson),4200.0,0.98,1.73,,42 Dra b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.07120904741718646,0.0,0.05893739703459633,0.5104166666666667,1.0,7,0,2,1
47 UMa,b,Radial Velocity,3,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,164.866562,40.430256,14.08,7.81025,V (Johnson),5892.0,1.03,1.23,,47 UMa b,,Otra misión/Terrestre,914,3,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.008228365530188336,0.0,0.6164332784184514,0.5625,0.6527777777777778,7,0,2,1
47 UMa,c,Radial Velocity,3,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,164.866562,40.430256,14.08,7.81025,V (Johnson),5892.0,1.03,1.23,,47 UMa c,,Otra misión/Terrestre,914,3,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.008228365530188336,0.0,0.6164332784184514,0.5625,0.6527777777777778,7,1,2,1
47 UMa,d,Radial Velocity,3,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,164.866562,40.430256,14.08,7.81025,V (Johnson),5892.0,1.03,1.23,,47 UMa d,,Otra misión/Terrestre,914,3,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.008228365530188336,0.0,0.6164332784184514,0.5625,0.6527777777777778,7,2,2,1
51 Eri,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,69.400551,-2.473548,29.4,7.81025,V (Johnson),5626.0,1.4500000000000002,0.98,,51 Eri b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.01982528916611155,0.0,0.5287891268533773,1.0,0.47916666666666663,2,0,0,1
51 Peg,b,Radial Velocity,1,4.230785,0.0527,0.1065,1.0150000000000001,Msini,0.203,0,0,0,344.366577,20.768833,15.36,7.81025,V (Johnson),5793.0,1.12,1.2,,51 Peg b,,Otra misión/Terrestre,914,1,0.04135869160330578,0.10634728931830376,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.009197299097680616,0.0,0.5838138385502472,0.65625,0.6319444444444444,7,0,2,1
